1.98634,6.82676,7.09344,
2.09589,6.80539,7.08748,
2.22814,6.81985,7.02561,
2.42543,6.8185,6.946,
2.72153,6.74976,6.88716,
3.13573,6.56399,6.87876,
3.66742,6.21452,6.93183,
4.2925,5.662,7.03282,
4.96337,4.88424,7.14532,
5.61523,3.88876,7.2208,
6.17952,2.7214,7.21611,
6.60219,1.4635,7.11067,
6.85976,0.215985,6.91512,
6.96541,-0.923728,6.667,
6.96219,-1.88191,6.41572,
6.90687,-2.61849,6.20464,
6.85224,-3.12673,6.05767,
6.8348,-3.42721,5.97437,
6.87094,-3.56162,5.93281,
6.96,-3.58767,5.89753,
7.09041,-3.57424,5.82883,
7.24457,-3.59453,5.69027,
7.3999,-3.71663,5.45232,
7.52662,-3.99266,5.09238,
7.58533,-4.44823,4.5937,
7.52847,-5.07463,3.9469,
7.3086,-5.82663,3.15559,
6.89273,-6.62927,2.2441,
6.27786,-7.39488,1.26169,
5.4999,-8.04659,0.277832,
4.63032,-8.53909,-0.632133,
3.76047,-8.8673,-1.40523,
2.98025,-9.05948,-2.00468,
2.35928,-9.15977,-2.42418,
1.93576,-9.20957,-2.68345,
1.71357,-9.23577,-2.82007,
1.66532,-9.24872,-2.88197,
1.73896,-9.2476,-2.92218,
1.86637,-9.228,-2.99454,
1.97263,-9.18655,-3.14855,
1.98478,-9.11972,-3.42276,
1.83947,-9.01793,-3.83754,
1.4901,-8.8593,-4.38872,
0.914284,-8.60864,-5.04404,
0.120945,-8.22539,-5.74472,
-0.846163,-7.67974,-6.41449,
-1.91285,-6.97037,-6.97639,
-2.98846,-6.13456,-7.37324,
-3.98568,-5.2438,-7.58373,
-4.83805,-4.38581,-7.62671,
-5.50847,-3.64122,-7.55171,
-5.98725,-3.06471,-7.42078,
-6.28428,-2.67594,-7.29019,
-6.42141,-2.45983,-7.19854,
-6.42873,-2.37281,-7.16359,
-6.34423,-2.3519,-7.18586,
-6.21383,-2.32481,-7.2548,
-6.0882,-2.21971,-7.35323,
-6.01546,-1.97354,-7.45788,
-6.03078,-1.53847,-7.53685,
-6.14651,-0.887432,-7.54744,
-6.34659,-0.0200417,-7.43874,
-6.58889,1.03189,-7.16139,
-6.81663,2.20303,-6.68327,
-6.97627,3.40229,-6.00495,
-7.03536,4.53103,-5.16703,
-6.992,5.50613,-4.24437,
-6.87172,6.27823,-3.3286,
-6.71412,6.83708,-2.50672,
-6.55645,7.20398,-1.84385,
-6.42137,7.41763,-1.37416,
-6.3124,7.52177,-1.09951,
-6.21651,7.55902,-0.992845,
-6.11111,7.5703,-1.00435,
-5.97173,7.59577,-1.06908,
-5.77732,7.6729,-1.11547,
-5.51144,7.83013,-1.07372,
-5.16025,8.0775,-0.883624,
-4.71026,8.39827,-0.502087,
-4.14969,8.74618,0.089063,
-3.47481,9.05209,0.8764,
-2.69889,9.24093,1.81286,
-1.85789,9.25504,2.82437,
-1.00748,9.0749,3.82567,
-0.210608,8.72753,4.74013,
0.478979,8.27805,5.51515,
1.02938,7.80853,6.12697,
1.43463,7.39391,6.57527,
1.71106,7.08401,6.87336,
1.89034,6.89584,7.04043,
2.01301,6.81572,7.09896,
2.1239,6.80751,7.07636,
2.26814,6.82294,7.0066,
2.48653,6.81004,6.92863,
2.80991,6.71764,6.87975,
3.25323,6.49665,6.88598,
3.81048,6.10154,6.95276,
4.4517,5.49603,7.06054,
5.12435,4.66392,7.16869,
5.76119,3.62148,7.22824,
