0.412781,0.412781,0.412781,0.412781,0.412781,0.412781,0.412781,0.412781,0.412781,0.412781,
0.452536,0.452536,0.452536,0.452536,0.452536,0.452536,0.452536,0.452536,0.452536,0.452536,
0.498443,0.498443,0.498443,0.498443,0.498443,0.498443,0.498443,0.498443,0.498443,0.498443,
0.550904,0.550904,0.550904,0.550904,0.550904,0.550904,0.550904,0.550904,0.550904,0.550904,
0.610249,0.610249,0.610249,0.610249,0.610249,0.610249,0.610249,0.610249,0.610249,0.610249,
0.676722,0.676722,0.676722,0.676722,0.676722,0.676722,0.676722,0.676722,0.676722,0.676722,
0.750462,0.750462,0.750462,0.750462,0.750462,0.750462,0.750462,0.750462,0.750462,0.750462,
0.831487,0.831487,0.831487,0.831487,0.831487,0.831487,0.831487,0.831487,0.831487,0.831487,
0.919664,0.919664,0.919664,0.919664,0.919664,0.919664,0.919664,0.919664,0.919664,0.919664,
1.01469,1.01469,1.01469,1.01469,1.01469,1.01469,1.01469,1.01469,1.01469,1.01469,
1.11606,1.11606,1.11606,1.11606,1.11606,1.11606,1.11606,1.11606,1.11606,1.11606,
1.22304,1.22304,1.22304,1.22304,1.22304,1.22304,1.22304,1.22304,1.22304,1.22304,
1.33463,1.33463,1.33463,1.33463,1.33463,1.33463,1.33463,1.33463,1.33463,1.33463,
1.44956,1.44956,1.44956,1.44956,1.44956,1.44956,1.44956,1.44956,1.44956,1.44956,
1.56623,1.56623,1.56623,1.56623,1.56623,1.56623,1.56623,1.56623,1.56623,1.56623,
1.68275,1.68275,1.68275,1.68275,1.68275,1.68275,1.68275,1.68275,1.68275,1.68275,
1.79686,1.79686,1.79686,1.79686,1.79686,1.79686,1.79686,1.79686,1.79686,1.79686,
1.90601,1.90601,1.90601,1.90601,1.90601,1.90601,1.90601,1.90601,1.90601,1.90601,
2.00735,2.00735,2.00735,2.00735,2.00735,2.00735,2.00735,2.00735,2.00735,2.00735,
2.09778,2.09778,2.09778,2.09778,2.09778,2.09778,2.09778,2.09778,2.09778,2.09778,
2.17399,2.17399,2.17399,2.17399,2.17399,2.17399,2.17399,2.17399,2.17399,2.17399,
2.2326,2.2326,2.2326,2.2326,2.2326,2.2326,2.2326,2.2326,2.2326,2.2326,
2.27021,2.27021,2.27021,2.27021,2.27021,2.27021,2.27021,2.27021,2.27021,2.27021,
2.28358,2.28358,2.28358,2.28358,2.28358,2.28358,2.28358,2.28358,2.28358,2.28358,
