9.076,5.91744,5.15949,-1.25055,
9.06399,5.91191,5.16485,-1.27942,
9.05203,5.90642,5.17014,-1.30809,
9.04006,5.9009,5.17545,-1.33686,
9.02808,5.8954,5.18067,-1.36563,
9.01604,5.88991,5.18584,-1.39434,
9.00397,5.88438,5.19103,-1.42313,
8.9919,5.87885,5.19616,-1.45199,
8.97979,5.87334,5.20121,-1.4808,
8.96762,5.86782,5.20625,-1.50961,
8.95544,5.86227,5.21128,-1.53852,
8.94325,5.85673,5.21623,-1.56744,
8.93101,5.8512,5.22113,-1.59632,
8.91872,5.84565,5.22603,-1.62525,
8.90644,5.84009,5.23089,-1.65426,
8.89412,5.83454,5.23567,-1.68324,
8.88175,5.82899,5.24042,-1.71221,
8.86936,5.82341,5.24517,-1.74128,
8.85696,5.81784,5.24985,-1.77037,
8.84451,5.81228,5.25447,-1.79941,
8.83202,5.80669,5.25909,-1.82851,
8.81952,5.8011,5.26367,-1.85769,
8.807,5.79553,5.26818,-1.88685,
8.79442,5.78994,5.27266,-1.916,
8.78182,5.78434,5.27713,-1.94523,
8.76921,5.77874,5.28153,-1.9745,
8.75655,5.77315,5.28588,-2.00373,
8.74385,5.76754,5.29021,-2.03301,
8.73115,5.76192,5.29452,-2.06236,
8.71841,5.75632,5.29875,-2.09171,
8.70563,5.75071,5.30295,-2.12105,
8.69282,5.74507,5.30714,-2.15047,
8.68,5.73945,5.31127,-2.17992,
8.66713,5.73383,5.31534,-2.20935,
8.65422,5.7282,5.31939,-2.23883,
8.6413,5.72256,5.32342,-2.26837,
8.62836,5.71692,5.32738,-2.29792,
8.61536,5.71129,5.33129,-2.32746,
8.60234,5.70564,5.3352,-2.35708,
8.58931,5.69999,5.33906,-2.38674,
8.57623,5.69434,5.34285,-2.41638,
8.56311,5.68869,5.34662,-2.44606,
8.54998,5.68302,5.35037,-2.47581,
8.53682,5.67736,5.35405,-2.50557,
8.52361,5.67171,5.35769,-2.53533,
8.51038,5.66603,5.36132,-2.56515,
8.49713,5.66036,5.36489,-2.59503,
8.48384,5.65469,5.36841,-2.62489,
8.47051,5.64901,5.3719,-2.65479,
8.45716,5.64332,5.37537,-2.68476,
8.44378,5.63764,5.37878,-2.71474,
8.43036,5.63196,5.38214,-2.74473,
8.41691,5.62626,5.38548,-2.77478,
8.40344,5.62057,5.38878,-2.80488,
8.38994,5.61488,5.39202,-2.83498,
8.37639,5.60918,5.39523,-2.86511,
8.36282,5.60347,5.39841,-2.89531,
8.34922,5.59776,5.40154,-2.92554,
8.33558,5.59206,5.40462,-2.95576,
8.32191,5.58634,5.40768,-2.98605,
8.30822,5.58062,5.4107,-3.01639,
8.2945,5.57491,5.41366,-3.04674,
8.28073,5.56919,5.41659,-3.07711,
8.26693,5.56345,5.4195,-3.10755,
8.25311,5.55773,5.42234,-3.13802,
8.23925,5.552,5.42514,-3.16851,
8.22536,5.54626,5.42792,-3.19904,
8.21144,5.54051,5.43066,-3.22963,
8.19749,5.53478,5.43334,-3.26023,
8.18349,5.52903,5.43599,-3.29087,
8.16947,5.52328,5.4386,-3.32156,
8.15542,5.51752,5.44117,-3.35229,
8.14134,5.51177,5.44369,-3.38304,
8.12721,5.50601,5.44618,-3.41383,
8.11306,5.50024,5.44864,-3.44469,
8.09888,5.49448,5.45104,-3.47556,
8.08465,5.48871,5.4534,-3.50646,
8.0704,5.48293,5.45573,-3.53742,
8.05612,5.47715,5.45802,-3.56842,
8.04179,5.47137,5.46026,-3.59944,
8.02743,5.46558,5.46246,-3.63051,
8.01305,5.45979,5.46463,-3.66163,
7.99863,5.454,5.46675,-3.69278,
7.98416,5.4482,5.46883,-3.72396,
7.96967,5.4424,5.47087,-3.7552,
7.95515,5.43659,5.47288,-3.78648,
7.94058,5.43078,5.47483,-3.81779,
7.92598,5.42497,5.47675,-3.84914,
7.91135,5.41914,5.47863,-3.88054,
7.89668,5.41332,5.48046,-3.91198,
7.88198,5.4075,5.48225,-3.94345,
7.86724,5.40166,5.48401,-3.97497,
7.85246,5.39582,5.48573,-4.00655,
7.83765,5.38998,5.4874,-4.03814,
7.8228,5.38413,5.48903,-4.06979,
7.80792,5.37828,5.49062,-4.10149,
7.793,5.37242,5.49217,-4.13322,
7.77804,5.36656,5.49367,-4.16499,
7.76304,5.36069,5.49514,-4.19681,
7.74802,5.35482,5.49657,-4.22868,
7.73295,5.34895,5.49795,-4.26058,
7.71784,5.34306,5.49929,-4.29253,
